time,price,trade,amount
2017/2/16,3440.9331,10827696200.00 ,101809767504.00 
2017/2/15,3421.7131,12764333800.00 ,124653179488.00 
2017/2/14,3435.8042,9480946500.00 ,98537165438.00 
2017/2/13,3436.275,12014453800.00 ,125332998844.00 
2017/2/10,3413.4868,12376872000.00 ,121908580284.00 
2017/2/9,3396.2924,9755851500.00 ,102134228699.00 
2017/2/8,3383.2878,7540287900.00 ,82869735773.30 
2017/2/7,3365.6849,6375446200.00 ,69758178999.10 
2017/2/6,3373.2051,6852136000.00 ,73408134767.90 
2017/2/3,3364.4923,5518886100.00 ,57113853254.90 
2017/1/26,3387.9606,6531664700.00 ,66488818305.40 
2017/1/25,3375.9042,5837693100.00 ,62483395801.90 
2017/1/24,3364.4509,6619422600.00 ,66049651288.60 
2017/1/23,3364.0808,7555749800.00 ,76492660153.90 
2017/1/20,3354.8891,6530046200.00 ,70831324310.20 
2017/1/19,3329.2891,6615980800.00 ,63869709162.90 
2017/1/18,3339.3653,7062322700.00 ,75680677263.90 
2017/1/17,3326.3563,6945332800.00 ,74754505695.70 
2017/1/16,3319.4455,15777913500.00 ,153262520121.00 
2017/1/13,3319.9122,8418058900.00 ,84556101402.80 
2017/1/12,3317.6241,8123913500.00 ,75031886874.20 
2017/1/11,3334.4954,9107143800.00 ,86750457122.10 
2017/1/10,3358.2716,8381916000.00 ,82533965080.20 
2017/1/9,3363.9014,8370794200.00 ,87916115242.60 
2017/1/6,3347.6665,8745911400.00 ,91072256748.20 
2017/1/5,3367.7892,8833635700.00 ,91189339581.70 
2017/1/4,3368.3117,9005082700.00 ,98014355468.30 
2017/1/3,3342.2272,8656789600.00 ,87612765767.50 
2016/12/30,3310.0808,7174411600.00 ,76921368837.70 
2016/12/29,3297.7648,7008792300.00 ,75972960430.70 
2016/12/28,3301.8887,6900043700.00 ,71759839565.50 
2016/12/27,3316.3852,7548635900.00 ,79617133030.40 
2016/12/26,3322.4006,8979398200.00 ,95493219935.50 
2016/12/23,3307.5991,9744471300.00 ,99575473231.30 
2016/12/22,3335.672,9227724900.00 ,92564877569.60 
2016/12/21,3338.536,10825499500.00 ,106205485213.00 
2016/12/20,3309.0641,8756959200.00 ,88527345888.80 
2016/12/19,3328.9827,8164067800.00 ,86095693838.30 
2016/12/16,3346.0305,9077542200.00 ,98112206845.40 
2016/12/15,3340.4338,11496066000.00 ,121507811540.00 
2016/12/14,3378.9453,12400774400.00 ,126182669414.00 
2016/12/13,3405.0355,12110509700.00 ,124454188749.00 
2016/12/12,3409.1794,18746775100.00 ,199163540831.00 
2016/12/9,3493.7004,15030330800.00 ,152674867707.00 
2016/12/8,3470.1426,11738392200.00 ,119188508676.00 
2016/12/7,3475.7473,11434510300.00 ,115282194223.00 
2016/12/6,3459.1533,11552909000.00 ,125727753193.00 
2016/12/5,3469.4073,18085235500.00 ,190175061733.00 
2016/12/2,3528.9547,19635548000.00 ,203742147476.00 
2016/12/1,3565.036,18017076100.00 ,199637742998.00 
2016/11/30,3538.001,17856017800.00 ,190681227631.00 
2016/11/29,3564.0404,23691835600.00 ,248322816339.00 
2016/11/28,3535.0807,20737548300.00 ,219859766828.00 
2016/11/25,3521.2984,15362150600.00 ,166832181108.00 
2016/11/24,3488.7402,14574630100.00 ,165071453531.00 
2016/11/23,3474.7289,16238850400.00 ,171247116196.00 
2016/11/22,3468.3637,16852344600.00 ,167250665827.00 
2016/11/21,3441.1106,14643452900.00 ,147542589349.00 
2016/11/18,3417.4554,11595120500.00 ,117345607612.00 
2016/11/17,3436.535,12156173100.00 ,121576882948.00 
2016/11/16,3429.5921,12980851100.00 ,128944599173.00 
2016/11/15,3429.8697,13456632000.00 ,135206770523.00 
2016/11/14,3430.2482,21324710500.00 ,208353308629.00 
2016/11/11,3417.2211,19878149600.00 ,190647270040.00 
2016/11/10,3390.6119,13470553500.00 ,133277399553.00 
2016/11/9,3353.0548,13911005900.00 ,145186921690.00 
2016/11/8,3371.1176,10314828200.00 ,105138256060.00 
2016/11/7,3356.5916,9987798800.00 ,94370876771.00 
2016/11/4,3354.1748,10406965500.00 ,110813764577.00 
2016/11/3,3365.0848,12622350400.00 ,137386468361.00 
2016/11/2,3333.3524,9119710400.00 ,100348995733.00 
2016/11/1,3359.0516,7493819900.00 ,84717683749.80 
2016/10/31,3336.2778,7135286300.00 ,80701820968.20 
2016/10/28,3340.1262,9313330900.00 ,104797971448.00 
2016/10/27,3345.695,7762985100.00 ,85241012413.90 
2016/10/26,3354.8,9802478600.00 ,104719318220.00 
2016/10/25,3367.454,11119169300.00 ,110576512916.00 
2016/10/24,3367.577,15301434500.00 ,150063007899.00 
2016/10/21,3327.74,10978517600.00 ,107114926126.00 
2016/10/20,3318.604,7923887100.00 ,82481095276.70 
2016/10/19,3316.24,10116772500.00 ,96354442198.50 
2016/10/18,3321.332,10286071400.00 ,104625044142.00 
2016/10/17,3277.878,8611350900.00 ,88199418936.30 
2016/10/14,3305.848,8231627100.00 ,81485597806.30 
2016/10/13,3302.645,8122419800.00 ,79923748596.20 
2016/10/12,3300.009,6866978100.00 ,72386912615.90 
2016/10/11,3306.557,8771316300.00 ,88213421182.90 
2016/10/10,3293.868,8051926000.00 ,89607989896.20 
2016/9/30,3253.284,4497802200.00 ,52655734552.90 
